Day,sustainability
2015-11-14,39
2015-11-15,51
2015-11-16,91
2015-11-17,100
2015-11-18,99
2015-11-19,92
2015-11-20,72
2015-11-21,40
2015-11-22,60
2015-11-23,90
2015-11-24,87
2015-11-25,79
2015-11-26,64
2015-11-27,55
2015-11-28,41
2015-11-29,51
2015-11-30,86
2015-12-01,91
2015-12-02,86
2015-12-03,85
2015-12-04,72
2015-12-05,43
2015-12-06,56
2015-12-07,85
2015-12-08,84
2015-12-09,83
2015-12-10,80
2015-12-11,69
2015-12-12,40
2015-12-13,44
2015-12-14,78
2015-12-15,74
2015-12-16,74
2015-12-17,70
2015-12-18,52
2015-12-19,29
2015-12-20,30
2015-12-21,44
2015-12-22,44
2015-12-23,38
2015-12-24,22
2015-12-25,19
2015-12-26,21
2015-12-27,24
2015-12-28,33
2015-12-29,33
2015-12-30,34
2015-12-31,27
2016-01-01,20
2016-01-02,27
2016-01-03,32
2016-01-04,59
2016-01-05,68
2016-01-06,62
2016-01-07,59
2016-01-08,58
2016-01-09,37
2016-01-10,43
2016-01-11,71
2016-01-12,74
2016-01-13,77
2016-01-14,74
2016-01-15,61
2016-01-16,35
2016-01-17,42
2016-01-18,69
2016-01-19,75
2016-01-20,83
2016-01-21,85
2016-01-22,66
2016-01-23,37
2016-01-24,49
2016-01-25,75
2016-01-26,83
2016-01-27,81
2016-01-28,82
2016-01-29,69
2016-01-30,38
2016-01-31,51
2016-02-01,85
2016-02-02,82
2016-02-03,85
2016-02-04,87
2016-02-05,66
2016-02-06,41
2016-02-07,44
2016-02-08,80
2016-02-09,78
2016-02-10,83
2016-02-11,85
2016-02-12,64
2016-02-13,38
2016-02-14,47
2016-02-15,77
2016-02-16,85
2016-02-17,85
2016-02-18,80
2016-02-19,70
2016-02-20,44
2016-02-21,53
2016-02-22,89
2016-02-23,88
2016-02-24,91
2016-02-25,82
2016-02-26,68
2016-02-27,45
2016-02-28,53
2016-02-29,85
2016-03-01,86
2016-03-02,93
2016-03-03,92
2016-03-04,75
2016-03-05,44
2016-03-06,57
2016-03-07,89
2016-03-08,90
2016-03-09,90
2016-03-10,87
2016-03-11,70
2016-03-12,42
2016-03-13,55
2016-03-14,85
2016-03-15,91
2016-03-16,86
2016-03-17,88
2016-03-18,70
2016-03-19,42
2016-03-20,54
2016-03-21,92
2016-03-22,91
2016-03-23,85
2016-03-24,76
2016-03-25,49
2016-03-26,35
2016-03-27,40
2016-03-28,71
2016-03-29,86
2016-03-30,87
2016-03-31,82
2016-04-01,68
2016-04-02,42
2016-04-03,56
2016-04-04,89
2016-04-05,88
2016-04-06,92
2016-04-07,87
2016-04-08,74
2016-04-09,44
2016-04-10,57
2016-04-11,94
2016-04-12,99
2016-04-13,98
2016-04-14,92
2016-04-15,75
2016-04-16,48
2016-04-17,64
2016-04-18,95
2016-04-19,98
2016-04-20,100
