"Country","Year","CO2_Mt"
"New Zealand",1995,27.306605707198
"Norway",1995,37.8505272289533
"Poland",1995,360.9756255277
"Portugal",1995,54.4489408549109
"Romania",1995,126.316397358689
"Russian Federation",1995,1582.13959649231
"Slovakia",1995,44.5746027385111
"Slovenia",1995,15.0110670453638
"Spain",1995,262.860032571453
"Sweden",1995,58.9695921984716
"Switzerland",1995,43.6834521107958
"Turkey",1995,174.087091271693
"Ukraine",1995,362.624578254935
"United Kingdom",1995,553.701859201489
"United States",1995,5416.60762036848
"Australia",1996,309.524262620784
"Austria",1996,67.3652950535479
"Belarus",1996,58.5537929401369
"Belgium",1996,128.35409051966
"Bulgaria",1996,58.3959279999608
"Canada",1996,507.307406160761
"Croatia",1996,17.845367968882
"Cyprus",1996,6.12063794429768
"Czech Republic",1996,133.235397753957
"Denmark",1996,75.4707448784487
"Estonia",1996,18.7082060591108
"European Union (15)",1996,3381.61793435013
"European Union (28)",1996,4270.2850766004
"Finland",1996,63.6992137541428
"France",1996,411.302866268069
"Germany",1996,951.863479750087
"Greece",1996,88.5264985662814
"Hungary",1996,62.6865753461186
"Iceland",1996,2.40741097181775
"Ireland",1996,36.839948833345
"Italy",1996,438.303362837708
"Japan",1996,1236.58183589929
"Latvia",1996,9.12378692272072
"Liechtenstein",1996,0.207294712073978
"Lithuania",1996,15.7130608787164
"Luxembourg",1996,9.25884901272681
"Malta",1996,2.26519907055279
"Monaco",1996,0.116108985060305
"Netherlands",1996,177.695859078542
"New Zealand",1996,28.5822328341581
"Norway",1996,41.107795756077
"Poland",1996,374.430768604875
"Portugal",1996,51.8247741133228
"Romania",1996,129.618143124342
"Russian Federation",1996,1543.09759020901
"Slovakia",1996,44.9536170410719
"Slovenia",1996,15.6781433012721
"Spain",1996,250.543226235088
"Sweden",1996,62.7303350958032
"Switzerland",1996,44.3404477027784
"Turkey",1996,192.199467147606
"Ukraine",1996,326.003566517692
"United Kingdom",1996,575.026951729249
"United States",1996,5604.99149035485
"Australia",1997,317.772252928614
"Austria",1997,67.1624899638506
"Belarus",1997,59.8679508703234
"Belgium",1997,122.723095948115
"Bulgaria",1997,55.6259105351208
"Canada",1997,521.281689180148
"Croatia",1997,18.938626571018
"Cyprus",1997,6.22158591256927
"Czech Republic",1997,129.712823371825
"Denmark",1997,66.1453121889052
"Estonia",1997,18.2537790483664
"European Union (15)",1997,3319.21074511193
"European Union (28)",1997,4179.31081463123
"Finland",1997,62.3554001810309
"France",1997,404.884776573426
"Germany",1997,923.080153037174
"Greece",1997,93.3076160895173
"Hungary",1997,61.3826697310206
"Iceland",1997,2.49574582171733
"Ireland",1997,38.2556792860594
"Italy",1997,442.37170142809
"Japan",1997,1231.47752961088
"Latvia",1997,8.59525281466207
"Liechtenstein",1997,0.219710710773386
"Lithuania",1997,15.1178791275491
